Step,Loss
0,0.15017417073249817
1,0.3386297821998596
2,0.09534761309623718
3,0.21113625168800354
4,0.3282533884048462
5,0.16604755818843842
6,0.14877963066101074
7,0.18759790062904358
8,0.25002139806747437
9,0.22161436080932617
10,0.13606815040111542
11,0.2085273712873459
12,0.14882738888263702
13,0.17544440925121307
14,0.19316299259662628
15,0.20656894147396088
16,0.22963301837444305
17,0.12292758375406265
18,0.2610279619693756
19,0.2243349403142929
20,0.12097219377756119
21,0.1495162695646286
22,0.18676379323005676
23,0.28531885147094727
24,0.11080312728881836
25,0.18990980088710785
26,0.07280071824789047
27,0.16581450402736664
28,0.1102668046951294
29,0.14415037631988525
30,0.16228939592838287
31,0.2076783925294876
32,0.13768289983272552
33,0.08722475171089172
34,0.0923319086432457
35,0.1376790851354599
36,0.11629827320575714
37,0.24505582451820374
38,0.13946235179901123
39,0.20861808955669403
40,0.17799586057662964
41,0.052544236183166504
42,0.11063136905431747
43,0.21384266018867493
44,0.19893546402454376
45,0.14703889191150665
46,0.17297986149787903
47,0.2181122750043869
48,0.09681713581085205
49,0.3075466752052307
50,0.15389728546142578
51,0.11308848112821579
52,0.25986918807029724
53,0.1044674888253212
54,0.1738593429327011
55,0.11614348739385605
56,0.07566791027784348
57,0.11451953649520874
58,0.19973264634609222
59,0.18575529754161835
60,0.1308407187461853
61,0.33521828055381775
62,0.1685703843832016
63,0.12334119528532028
64,0.14793720841407776
65,0.1444256752729416
66,0.12050914764404297
67,0.1513742059469223
68,0.16154491901397705
69,0.07701456546783447
70,0.1575683206319809
71,0.12085071951150894
72,0.17478422820568085
73,0.17628483474254608
74,0.14420448243618011
75,0.13398264348506927
76,0.13322751224040985
77,0.15658320486545563
78,0.09421679377555847
79,0.11916744709014893
80,0.048999588936567307
81,0.09608172625303268
82,0.03346407040953636
83,0.11045534908771515
84,0.08268029242753983
85,0.1511046141386032
86,0.09649773687124252
87,0.16081292927265167
88,0.1480334997177124
89,0.12508809566497803
90,0.12154277414083481
91,0.1325514167547226
92,0.12512463331222534
93,0.08265738934278488
94,0.11419037729501724
95,0.18990761041641235
96,0.16197609901428223
97,0.04952961206436157
98,0.2241189032793045
99,0.07842787355184555
100,0.07980140298604965
101,0.1336067020893097
102,0.15071646869182587
103,0.18570400774478912
104,0.15497355163097382
105,0.11793521791696548
106,0.12504780292510986
107,0.08063475042581558
108,0.1395358294248581
109,0.21169963479042053
110,0.2879692018032074
111,0.17682050168514252
112,0.08384855091571808
113,0.11755184084177017
114,0.1273801475763321
115,0.08738537132740021
116,0.13194695115089417
117,0.09191034734249115
118,0.11475875228643417
119,0.15847468376159668
120,0.2113223522901535
121,0.1309339702129364
122,0.15696723759174347
123,0.11991124600172043
124,0.25743454694747925
125,0.12899146974086761
126,0.12765787541866302
127,0.091194748878479
128,0.09449054300785065
129,0.12845751643180847
130,0.22458641231060028
131,0.09756065905094147
132,0.28378063440322876
133,0.050883449614048004
134,0.22110047936439514
135,0.26460567116737366
136,0.12855951488018036
137,0.27413448691368103
138,0.10763002932071686
139,0.05934713035821915
140,0.20774231851100922
141,0.03144531324505806
